Player Name,Player Image,Jersey Number,Position,Height,Weight,Nationality,Flag Image,Starter,Appearances,Minutes Played,Goals ,Assists,Clean Sheets,Saves
Juan Bernat,"https://images.psg.media/media/27054/card_21-22_bernat.png?crop=0.19333333333333333,0.0,0.14026666666666668,0.0&cropmode=percentage&width=400&height=600&quality=75",14,Defender,177,67,Spanish,https://cdn-icons-png.flaticon.com/512/197/197593.png,No,16,975,0,0,N/A,N/A
Danilo Pereira,"https://images.psg.media/media/187878/card_21-22_danilo.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",15,Midfielder,188,83,Guinea-Bissau,https://cdn-icons-png.flaticon.com/512/197/197483.png,Yes,37,2623,5,0,N/A,N/A
Colin Dagba,"https://images.psg.media/media/27059/card_21-22_dagba.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",17,Defender,170,62,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,6,381,0,1,N/A,N/A
Georginio Wijnaldum,"https://images.psg.media/media/207155/card_21-22_wijnaldum.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",18,Midfielder,175,74,Dutch,https://cdn-icons-png.flaticon.com/512/197/197441.png,No,38,1992,3,3,N/A,N/A
Layvin Kurzawa,"https://images.psg.media/media/27056/card_21-22_kurzawa.png?crop=0.22,0.0,0.1136,0.0&cropmode=percentage&width=400&height=600&quality=75",20,Defender,182,74,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,1,9,0,0,N/A,N/A
Ander Herrera,"https://images.psg.media/media/27249/card_21-22_herrera.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",21,Midfielder,182,71,Spanish,https://cdn-icons-png.flaticon.com/512/197/197593.png,No,28,1634,4,2,N/A,N/A
Abdou Diallo,"https://images.psg.media/media/27790/card_21-22_diallo.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",22,Defender,187,79,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,16,1222,0,1,N/A,N/A
Julian Draxler,"https://images.psg.media/media/27057/card_21-22_draxler.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",23,Midfielder,185,72,German,https://cdn-icons-png.flaticon.com/512/197/197571.png,No,24,862,2,2,N/A,N/A
Ismaël Gharbi ,"https://images.psg.media/media/207194/card_21-22_gharbi.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",35,Midfielder,173,63,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,4,44,0,0,N/A,N/A
Edouard Michut,"https://images.psg.media/media/207195/card_21-22_michut.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",38,Midfielder,173,Unknown,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,7,182,0,1,N/A,N/A
Nathan Bitumazala,"https://images.psg.media/media/210208/card_21-22_bitumazala.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",39,Midfielder,178,68,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,1,10,0,0,N/A,N/A
Denis Franchi,"https://images.psg.media/media/207193/card_21-22_franchi.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",40,Goalkeeper,189,81,Italian,https://cdn-icons-png.flaticon.com/512/197/197626.png,No,0,0,N/A,N/A,0,0
Gianluigi Donnarumma,"https://images.psg.media/media/207154/card_21-22_donnarumma-alt.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",50,Goalkeeper,195,90,Italian,https://cdn-icons-png.flaticon.com/512/197/197626.png,No,24,2160,N/A,N/A,9,70
Alexandre Letellier,"https://www.psg.fr/media/187967/cards-23-24_letellier-alt.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75",60,Goalkeeper,193,93,French,https://cdn-icons-png.flaticon.com/512/197/197560.png,No,1,7,N/A,N/A,1,0
